
Ground-truth gate vs held-out oracle labels (student threshold 4.5, on-lens := oracle >= 4.5, gatekeeper_cap 3.0, n=660)
ADR-023 — we prioritise HIGH CERTAINTY over HIGH DETECTION: specificity at the op-point is
the criterion, recall is a constraint to satisfy, and MAE ranks nothing. A low recall here is
usually the choice working. Read spec first, and read recall beside the positive rate.
model      n  recall    prec    spec      f1  spearman    mae
-------------------------------------------------------------
v8       660   0.314   0.550   0.986   0.400     0.811  0.539
adj1     660   0.257   0.750   0.995   0.383     0.792  0.581
adj3     660   0.229   0.889   0.998   0.364     0.788  0.595
adj2     660   0.229   0.889   0.998   0.364     0.793  0.581

Batch-noise band (#95, floor 0.16) — the range each metric could occupy if every
article predicted within 0.16 of 4.5 landed on the other side of it:
  v8     indeterminate    8/660   recall [0.286, 0.371]  spec [0.984, 0.992]  prec [0.500, 0.722]  f1 [0.364, 0.491]
  adj1   indeterminate    4/660   recall [0.200, 0.286]  spec [0.994, 0.995]  prec [0.636, 0.769]  f1 [0.304, 0.417]
  adj3   indeterminate    2/660   recall [0.171, 0.229]  spec [0.998, 0.998]  prec [0.857, 0.889]  f1 [0.286, 0.364]
  adj2   indeterminate    3/660   recall [0.229, 0.286]  spec [0.997, 0.998]  prec [0.800, 0.909]  f1 [0.356, 0.435]
  + v8 vs adj1: specificity bands do not overlap ([0.984, 0.992] vs [0.994, 0.995]). This rules out batch composition as the WHOLE explanation — it is not evidence the difference is real. Sampling error, differing populations, library-stack skew (0.2008) and device skew (0.1956) are all unmodelled here.
  ! v8 vs adj1: recall bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  ! v8 vs adj1: F1 bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  + v8 vs adj3: specificity bands do not overlap ([0.984, 0.992] vs [0.998, 0.998]). This rules out batch composition as the WHOLE explanation — it is not evidence the difference is real. Sampling error, differing populations, library-stack skew (0.2008) and device skew (0.1956) are all unmodelled here.
  + v8 vs adj3: recall bands do not overlap ([0.286, 0.371] vs [0.171, 0.229]). This rules out batch composition as the WHOLE explanation — it is not evidence the difference is real. Sampling error, differing populations, library-stack skew (0.2008) and device skew (0.1956) are all unmodelled here.
  + v8 vs adj3: F1 bands do not overlap ([0.364, 0.491] vs [0.286, 0.364]). This rules out batch composition as the WHOLE explanation — it is not evidence the difference is real. Sampling error, differing populations, library-stack skew (0.2008) and device skew (0.1956) are all unmodelled here.
  + v8 vs adj2: specificity bands do not overlap ([0.984, 0.992] vs [0.997, 0.998]). This rules out batch composition as the WHOLE explanation — it is not evidence the difference is real. Sampling error, differing populations, library-stack skew (0.2008) and device skew (0.1956) are all unmodelled here.
  ! v8 vs adj2: recall bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  ! v8 vs adj2: F1 bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  + adj1 vs adj3: specificity bands do not overlap ([0.994, 0.995] vs [0.998, 0.998]). This rules out batch composition as the WHOLE explanation — it is not evidence the difference is real. Sampling error, differing populations, library-stack skew (0.2008) and device skew (0.1956) are all unmodelled here.
  ! adj1 vs adj3: recall bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  ! adj1 vs adj3: F1 bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  + adj1 vs adj2: specificity bands do not overlap ([0.994, 0.995] vs [0.997, 0.998]). This rules out batch composition as the WHOLE explanation — it is not evidence the difference is real. Sampling error, differing populations, library-stack skew (0.2008) and device skew (0.1956) are all unmodelled here.
  ! adj1 vs adj2: recall bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  ! adj1 vs adj2: F1 bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  ! adj3 vs adj2: specificity bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  ! adj3 vs adj2: recall bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).
  ! adj3 vs adj2: F1 bands OVERLAP — NOT DISTINGUISHABLE at this threshold. Do not report the point difference as an effect (#95).

Report: docs/evidence/2026-09-25-v8-adj-retrain-gate/gate_oracle.json
